k,retriever,task,target_metric,QPP_Method,Spearman,Kendall
3,mt5,nq,f1,bertQPP,0.1683,0.1275
3,mt5,nq,f1,prob(k),0.2676,0.2024
3,mt5,nq,f1,max(perpC),0.1534,0.1164
3,mt5,nq,f1,min(perpC),0.1378,0.1042
3,mt5,nq,f1,avg(perpC),0.1695,0.1283
3,mt5,nq,f1,itg(perpC),0.1814,0.1374
3,mt5,nq,f1,max(docQual),0.0989,0.0756
3,mt5,nq,f1,min(docQual),0.0819,0.0622
3,mt5,nq,f1,avg(docQual),0.1132,0.0854
3,mt5,nq,f1,itg(docQual),0.0256,0.0197
3,mt5,nq,f1,itg(Dale Chall),0.0873,0.0659
3,mt5,nq,f1,itg(Spache),0.0874,0.0663
3,mt5,nq,f1,itg(Flesch-Kincaid),0.0306,0.0231
3,mt5,nq,f1,itg(Flesch),-0.0118,-0.0086
3,mt5,nq,f1,itg(Gunning Fog),0.0219,0.0165
3,mt5,nq,f1,itg(Coleman Liau),-0.0314,-0.0238
3,mt5,nq,f1,itg(ARI),0.0074,0.0055
3,mt5,nq,f1,itg(Linsear Write),0.0411,0.0312
3,mt5,nq,utility,nqc,-0.0676,-0.0494
3,mt5,nq,utility,maxScore,0.177,0.1305
3,mt5,nq,utility,spatial,0.1648,0.1208
3,mt5,nq,utility,a_ratio,0.0035,0.0027
3,mt5,nq,utility,bertQPP,0.1516,0.1116
3,mt5,nq,utility,prob(k),0.1462,0.1073
3,mt5,nq,utility,max(perpC),0.0677,0.0495
3,mt5,nq,utility,min(perpC),0.066,0.0485
3,mt5,nq,utility,avg(perpC),0.0754,0.0551
3,mt5,nq,utility,itg(perpC),0.0862,0.0633
3,mt5,nq,utility,max(docQual),0.0797,0.0586
3,mt5,nq,utility,min(docQual),0.0533,0.0391
3,mt5,nq,utility,avg(docQual),0.0727,0.0529
3,mt5,nq,utility,itg(docQual),0.0311,0.0231
3,mt5,nq,utility,itg(Dale Chall),0.0329,0.024
3,mt5,nq,utility,itg(Spache),0.0208,0.0152
3,mt5,nq,utility,itg(Flesch-Kincaid),-0.0422,-0.031
3,mt5,nq,utility,itg(Flesch),0.0569,0.0418
3,mt5,nq,utility,itg(Gunning Fog),-0.0247,-0.0183
3,mt5,nq,utility,itg(Coleman Liau),-0.0823,-0.0605
3,mt5,nq,utility,itg(ARI),-0.0613,-0.0451
3,mt5,nq,utility,itg(Linsear Write),-0.023,-0.0169
3,mt5,dl,f1,nqc,-0.096,-0.0679
3,mt5,dl,f1,maxScore,0.0882,0.0558
3,mt5,dl,f1,spatial,0.4091,0.3076
3,mt5,dl,f1,a_ratio,-0.1466,-0.1061
3,mt5,dl,f1,bertQPP,0.1808,0.1284
3,mt5,dl,f1,prob(k),0.577,0.4326
3,mt5,dl,f1,max(perpC),0.1494,0.1031
3,mt5,dl,f1,min(perpC),0.258,0.1856
3,mt5,dl,f1,avg(perpC),0.2414,0.1641
3,mt5,dl,f1,itg(perpC),0.3557,0.2486
3,mt5,dl,f1,max(docQual),0.1813,0.1248
3,mt5,dl,f1,min(docQual),0.2561,0.1823
3,mt5,dl,f1,avg(docQual),0.2586,0.1804
3,mt5,dl,f1,itg(docQual),0.0147,0.0
3,mt5,dl,utility,nqc,-0.0972,-0.0662
3,mt5,dl,utility,maxScore,0.1381,0.1022
3,mt5,dl,utility,spatial,0.2476,0.189
3,mt5,dl,utility,a_ratio,-0.0383,-0.0262
3,mt5,dl,utility,bertQPP,0.2797,0.1912
3,mt5,dl,utility,prob(k),0.4441,0.3114
3,mt5,dl,utility,max(perpC),-0.0612,-0.0404
3,mt5,dl,utility,min(perpC),0.0149,0.0073
3,mt5,dl,utility,avg(perpC),-0.0219,-0.0163
3,mt5,dl,utility,itg(perpC),0.1309,0.0801
3,mt5,dl,utility,max(docQual),0.0525,0.0426
3,mt5,dl,utility,min(docQual),0.1459,0.0972
3,mt5,dl,utility,avg(docQual),0.1209,0.0799
3,mt5,dl,utility,itg(docQual),-0.0703,-0.0488
3,e5,nq,f1,nqc,0.1605,0.1213
3,e5,nq,f1,maxScore,0.2235,0.1686
3,e5,nq,f1,spatial,0.1913,0.144
3,e5,nq,f1,a_ratio,0.228,0.1733
3,e5,nq,f1,bertQPP,0.144,0.1085
3,e5,nq,f1,prob(k),0.2924,0.2209
3,e5,nq,f1,max(perpC),0.1151,0.0869
3,e5,nq,f1,min(perpC),0.1112,0.0841
3,e5,nq,f1,avg(perpC),0.1312,0.0991
3,e5,nq,f1,itg(perpC),0.1532,0.1155
3,e5,nq,f1,max(docQual),0.1026,0.0786
3,e5,nq,f1,min(docQual),0.0927,0.0706
3,e5,nq,f1,avg(docQual),0.1133,0.0858
3,e5,nq,f1,itg(docQual),0.024,0.0183
3,e5,nq,f1,itg(Dale Chall),0.0536,0.0403
3,e5,nq,f1,itg(Spache),0.0452,0.0342
3,e5,nq,f1,itg(Flesch-Kincaid),-0.0191,-0.0145
3,e5,nq,f1,itg(Flesch),0.0292,0.0223
3,e5,nq,f1,itg(Gunning Fog),-0.0295,-0.0224
3,e5,nq,f1,itg(Coleman Liau),-0.0509,-0.0386
3,e5,nq,f1,itg(ARI),-0.0321,-0.0242
3,e5,nq,f1,itg(Linsear Write),-0.0017,-0.0014
3,e5,nq,utility,nqc,0.1398,0.102
3,e5,nq,utility,maxScore,0.1181,0.0856
3,e5,nq,utility,spatial,0.0943,0.0684
3,e5,nq,utility,a_ratio,0.1782,0.1309
3,e5,nq,utility,bertQPP,0.116,0.0848
3,e5,nq,utility,prob(k),0.1643,0.121
3,e5,nq,utility,max(perpC),0.0338,0.0245
3,e5,nq,utility,min(perpC),0.0404,0.0295
3,e5,nq,utility,avg(perpC),0.0395,0.0288
3,e5,nq,utility,itg(perpC),0.0645,0.047
3,e5,nq,utility,max(docQual),0.0801,0.0591
3,e5,nq,utility,min(docQual),0.0454,0.0334
3,e5,nq,utility,avg(docQual),0.0689,0.0504
3,e5,nq,utility,itg(docQual),0.0263,0.0194
3,e5,nq,utility,itg(Dale Chall),0.0095,0.0069
3,e5,nq,utility,itg(Spache),-0.0105,-0.0076
3,e5,nq,utility,itg(Flesch-Kincaid),-0.0827,-0.0605
3,e5,nq,utility,itg(Flesch),0.0877,0.0642
3,e5,nq,utility,itg(Gunning Fog),-0.0687,-0.0503
3,e5,nq,utility,itg(Coleman Liau),-0.0907,-0.0666
3,e5,nq,utility,itg(ARI),-0.089,-0.0651
3,e5,nq,utility,itg(Linsear Write),-0.0616,-0.0452
3,e5,dl,f1,nqc,-0.033,-0.0232
3,e5,dl,f1,maxScore,0.3789,0.2586
3,e5,dl,f1,spatial,0.2378,0.1632
3,e5,dl,f1,a_ratio,-0.0042,0.0
3,e5,dl,f1,bertQPP,0.1499,0.1009
3,e5,dl,f1,prob(k),0.3791,0.2603
3,e5,dl,f1,max(perpC),0.2027,0.1392
3,e5,dl,f1,min(perpC),0.305,0.2069
3,e5,dl,f1,avg(perpC),0.2376,0.1592
3,e5,dl,f1,itg(perpC),0.2729,0.1799
3,e5,dl,f1,max(docQual),-0.0408,-0.0193
3,e5,dl,f1,min(docQual),-0.0342,-0.0177
3,e5,dl,f1,avg(docQual),-0.0028,0.0095
3,e5,dl,f1,itg(docQual),-0.0177,-0.0035
3,e5,dl,utility,nqc,0.0718,0.0558
3,e5,dl,utility,maxScore,0.3076,0.2113
3,e5,dl,utility,spatial,0.1364,0.1022
3,e5,dl,utility,a_ratio,0.0644,0.0387
3,e5,dl,utility,bertQPP,0.2105,0.1482
3,e5,dl,utility,prob(k),0.209,0.1452
3,e5,dl,utility,max(perpC),0.0104,0.0103
3,e5,dl,utility,min(perpC),0.1027,0.0651
3,e5,dl,utility,avg(perpC),0.0244,0.0165
3,e5,dl,utility,itg(perpC),0.1075,0.0634
3,e5,dl,utility,max(docQual),-0.1452,-0.1003
3,e5,dl,utility,min(docQual),-0.0473,-0.0302
