Prediction Name,QA Task,Retriever,Top-Retrieved Docs,Use_Postgen,Combination_Number,Rho,Tau,Best Single Signal,Best Single Rho,Best Single Tau,Number of Queries
GPP,dl,bm25,2,False,p23,0.3350120976225541,0.2345360824742268,avg(docQual),0.3132,0.227,97
GPP,dl,bm25,2,False,p012,0.3426651588470439,0.2414089347079038,spatial,0.3492,0.2427,97
GPP,dl,bm25,2,False,p013,0.3247028192720387,0.2293814432989691,spatial,0.3492,0.2427,97
GPP,dl,bm25,2,False,p023,0.3409031138228486,0.2444158075601375,spatial,0.3492,0.2427,97
GPP,dl,bm25,2,False,p123,0.3105144119503471,0.2126288659793814,avg(docQual),0.3132,0.227,97
GPP,dl,bm25,2,False,p0123,0.3426651588470439,0.2414089347079038,spatial,0.3492,0.2427,97
GPP,dl,bm25,2,True,p0,0.457250683778666,0.3303264604810997,prob(k),0.4058,0.2912,97
GPP,dl,bm25,2,True,p1,0.3969598148537765,0.2852233676975945,prob(k),0.4058,0.2912,97
GPP,dl,bm25,2,True,p2,0.4286240269303597,0.3028350515463918,prob(k),0.4058,0.2912,97
GPP,dl,bm25,2,True,p01,0.4431806227645697,0.3101374570446736,prob(k),0.4058,0.2912,97
GPP,dl,bm25,2,True,p02,0.4600383968020197,0.3311855670103093,prob(k),0.4058,0.2912,97
GPP,dl,bm25,2,True,p03,0.457250683778666,0.3303264604810997,prob(k),0.4058,0.2912,97
GPP,dl,bm25,2,True,p12,0.4163291605301914,0.2968213058419244,prob(k),0.4058,0.2912,97
GPP,dl,bm25,2,True,p13,0.3969598148537765,0.2852233676975945,prob(k),0.4058,0.2912,97
GPP,dl,bm25,2,True,p23,0.4286240269303597,0.3028350515463918,prob(k),0.4058,0.2912,97
GPP,dl,bm25,2,True,p012,0.4567509993688196,0.3225945017182131,prob(k),0.4058,0.2912,97
GPP,dl,bm25,2,True,p013,0.4431806227645697,0.3101374570446736,prob(k),0.4058,0.2912,97
GPP,dl,bm25,2,True,p023,0.4600383968020197,0.3311855670103093,prob(k),0.4058,0.2912,97
GPP,dl,bm25,2,True,p123,0.4163291605301914,0.2968213058419244,prob(k),0.4058,0.2912,97
GPP,dl,bm25,2,True,p0123,0.4567509993688196,0.3225945017182131,prob(k),0.4058,0.2912,97
RPP,dl,bm25,2,False,p0,0.3029796970334525,0.2001718213058419,spatial,0.314,0.2113,97
RPP,dl,bm25,2,False,p1,0.1173600883652429,0.0820446735395189,itg(perpC),0.0717,0.0451,97
RPP,dl,bm25,2,False,p2,0.3433752366926151,0.2388316151202749,avg(docQual),0.3438,0.2352,97
RPP,dl,bm25,2,False,p01,0.3134073216915631,0.2100515463917526,spatial,0.314,0.2113,97
RPP,dl,bm25,2,False,p02,0.3591284451925099,0.2448453608247423,avg(docQual),0.3438,0.2352,97
RPP,dl,bm25,2,False,p03,0.3029796970334525,0.2001718213058419,spatial,0.314,0.2113,97
RPP,dl,bm25,2,False,p12,0.3548548285293498,0.2457044673539519,avg(docQual),0.3438,0.2352,97
RPP,dl,bm25,2,False,p13,0.1173600883652429,0.0820446735395189,itg(perpC),0.0717,0.0451,97
RPP,dl,bm25,2,False,p23,0.3433752366926151,0.2388316151202749,avg(docQual),0.3438,0.2352,97
RPP,dl,bm25,2,False,p012,0.3624158426257101,0.2521477663230241,avg(docQual),0.3438,0.2352,97
RPP,dl,bm25,2,False,p013,0.3134073216915631,0.2100515463917526,spatial,0.314,0.2113,97
RPP,dl,bm25,2,False,p023,0.3591284451925099,0.2448453608247423,avg(docQual),0.3438,0.2352,97
RPP,dl,bm25,2,False,p123,0.3548548285293498,0.2457044673539519,avg(docQual),0.3438,0.2352,97
RPP,dl,bm25,2,False,p0123,0.3624158426257101,0.2521477663230241,avg(docQual),0.3438,0.2352,97
RPP,dl,bm25,2,True,p0,0.3615611192930779,0.2512886597938145,spatial,0.314,0.2113,97
RPP,dl,bm25,2,True,p1,0.2636229749631811,0.1859965635738832,prob(k),0.2742,0.1963,97
RPP,dl,bm25,2,True,p2,0.2938407321691562,0.2100515463917526,avg(docQual),0.3438,0.2352,97
RPP,dl,bm25,2,True,p01,0.3508968020197769,0.2465635738831615,spatial,0.314,0.2113,97
RPP,dl,bm25,2,True,p02,0.3485298758678729,0.2396907216494845,avg(docQual),0.3438,0.2352,97
RPP,dl,bm25,2,True,p03,0.3615611192930779,0.2512886597938145,spatial,0.314,0.2113,97
RPP,dl,bm25,2,True,p12,0.2915264043761834,0.2087628865979381,avg(docQual),0.3438,0.2352,97
RPP,dl,bm25,2,True,p13,0.2636229749631811,0.1859965635738832,prob(k),0.2742,0.1963,97
RPP,dl,bm25,2,True,p23,0.2938407321691562,0.2100515463917526,avg(docQual),0.3438,0.2352,97
RPP,dl,bm25,2,True,p012,0.3431648432568904,0.2379725085910653,avg(docQual),0.3438,0.2352,97
RPP,dl,bm25,2,True,p013,0.3508968020197769,0.2465635738831615,spatial,0.314,0.2113,97
RPP,dl,bm25,2,True,p023,0.3485298758678729,0.2396907216494845,avg(docQual),0.3438,0.2352,97
RPP,dl,bm25,2,True,p123,0.2915264043761834,0.2087628865979381,avg(docQual),0.3438,0.2352,97
RPP,dl,bm25,2,True,p0123,0.3431648432568904,0.2379725085910653,avg(docQual),0.3438,0.2352,97
GPP,nq,mt5,2,False,p0,0.286138394347242,0.2189152346092552,spatial,0.2992,0.2281,3610
GPP,nq,mt5,2,False,p1,0.2035291419960296,0.1553780525181871,itg(perpC),0.2007,0.1533,3610
GPP,nq,mt5,2,False,p2,0.1488701268320283,0.1131880007146132,avg(docQual),0.1206,0.0915,3610
GPP,nq,mt5,2,False,p3,0.099999379971198,0.0763476447397519,itg(Spache),0.1063,0.0806,3610
GPP,nq,mt5,2,False,p01,0.303982759969154,0.2327519924008467,spatial,0.2992,0.2281,3610
GPP,nq,mt5,2,False,p02,0.3113276766300277,0.2379659149236691,spatial,0.2992,0.2281,3610
GPP,nq,mt5,2,False,p03,0.2900916769184619,0.2219299323058101,spatial,0.2992,0.2281,3610
GPP,nq,mt5,2,False,p12,0.2123189695600375,0.1620534273545511,itg(perpC),0.2007,0.1533,3610
GPP,nq,mt5,2,False,p13,0.2094793814980233,0.1597795492435678,itg(perpC),0.2007,0.1533,3610
GPP,nq,mt5,2,False,p23,0.1598958713333468,0.121836080367934,avg(docQual),0.1206,0.0915,3610
GPP,nq,mt5,2,False,p012,0.3225578350417398,0.2466477872288204,spatial,0.2992,0.2281,3610
GPP,nq,mt5,2,False,p013,0.3070622349281446,0.2350182528297161,spatial,0.2992,0.2281,3610
GPP,nq,mt5,2,False,p023,0.316302164724308,0.2420440410433171,spatial,0.2992,0.2281,3610
GPP,nq,mt5,2,False,p123,0.2189498681088599,0.1671397537019666,itg(perpC),0.2007,0.1533,3610
GPP,nq,mt5,2,False,p0123,0.3253106975344839,0.2489780361874461,spatial,0.2992,0.2281,3610
GPP,nq,mt5,2,True,p0,0.3615718882326632,0.276730775664613,spatial,0.2992,0.2281,3610
GPP,nq,mt5,2,True,p1,0.3099874742124104,0.2356524248656939,prob(k),0.2579,0.1954,3610
GPP,nq,mt5,2,True,p2,0.2850957593860324,0.2173376126434776,prob(k),0.2579,0.1954,3610
GPP,nq,mt5,2,True,p3,0.2675334370102824,0.2039678187654649,prob(k),0.2579,0.1954,3610
