qid,qpp_estimate,parameters,qpp_method
test_1246,1560.84375,{'k': 3},spatial
test_1247,1745.8939208984375,{'k': 3},spatial
test_1248,1500.20947265625,{'k': 3},spatial
test_1249,1597.7529296875,{'k': 3},spatial
test_125,1615.53271484375,{'k': 3},spatial
test_1250,1795.607666015625,{'k': 3},spatial
test_1251,1517.639892578125,{'k': 3},spatial
test_1252,1637.39013671875,{'k': 3},spatial
test_1253,1483.292724609375,{'k': 3},spatial
test_1254,1727.8245849609375,{'k': 3},spatial
test_1255,1398.553955078125,{'k': 3},spatial
test_1256,1629.2861328125,{'k': 3},spatial
test_1257,1571.7186279296875,{'k': 3},spatial
test_1258,1561.49072265625,{'k': 3},spatial
test_1259,1492.373779296875,{'k': 3},spatial
test_126,1793.599609375,{'k': 3},spatial
test_1260,1455.76416015625,{'k': 3},spatial
test_1261,1547.76416015625,{'k': 3},spatial
test_1262,1451.0650634765625,{'k': 3},spatial
test_1263,1741.78125,{'k': 3},spatial
test_1264,1733.903076171875,{'k': 3},spatial
test_1265,1641.610107421875,{'k': 3},spatial
test_1266,1469.4783935546875,{'k': 3},spatial
test_1267,1526.6673583984375,{'k': 3},spatial
test_1268,1519.19873046875,{'k': 3},spatial
test_1269,1670.298828125,{'k': 3},spatial
test_127,1505.3035888671875,{'k': 3},spatial
test_1270,1677.818603515625,{'k': 3},spatial
test_1271,1562.16796875,{'k': 3},spatial
test_1272,1511.924072265625,{'k': 3},spatial
test_1273,1678.3809814453125,{'k': 3},spatial
test_1274,1362.458740234375,{'k': 3},spatial
test_1275,1497.37353515625,{'k': 3},spatial
test_1276,1861.673095703125,{'k': 3},spatial
test_1277,1634.5224609375,{'k': 3},spatial
test_1278,1609.062255859375,{'k': 3},spatial
test_1279,1488.18505859375,{'k': 3},spatial
test_128,1600.923095703125,{'k': 3},spatial
test_1280,1473.6064453125,{'k': 3},spatial
test_1281,1485.8006591796875,{'k': 3},spatial
test_1282,1518.3690185546875,{'k': 3},spatial
test_1283,1497.3431396484375,{'k': 3},spatial
test_1284,1582.1497802734375,{'k': 3},spatial
test_1285,1552.7431640625,{'k': 3},spatial
test_1286,1519.420166015625,{'k': 3},spatial
test_1287,1594.815673828125,{'k': 3},spatial
test_1288,1416.313720703125,{'k': 3},spatial
test_1289,1629.080322265625,{'k': 3},spatial
test_129,1571.248779296875,{'k': 3},spatial
test_1290,1579.7176513671875,{'k': 3},spatial
test_1291,1535.902099609375,{'k': 3},spatial
test_1292,1611.96044921875,{'k': 3},spatial
test_1293,1770.97265625,{'k': 3},spatial
test_1294,1569.03271484375,{'k': 3},spatial
test_1295,1599.77685546875,{'k': 3},spatial
test_1296,1481.552734375,{'k': 3},spatial
test_1297,1890.9508056640625,{'k': 3},spatial
test_1298,1476.4736328125,{'k': 3},spatial
test_1299,1609.652099609375,{'k': 3},spatial
test_13,1524.252685546875,{'k': 3},spatial
test_130,1579.3729248046875,{'k': 3},spatial
test_1300,1455.710693359375,{'k': 3},spatial
test_1301,1652.5364990234375,{'k': 3},spatial
test_1302,1484.19482421875,{'k': 3},spatial
test_1303,1694.799072265625,{'k': 3},spatial
test_1304,1603.8465576171875,{'k': 3},spatial
test_1305,1735.3587646484375,{'k': 3},spatial
test_1306,1795.805419921875,{'k': 3},spatial
test_1307,1508.3583984375,{'k': 3},spatial
test_1308,1645.4051513671875,{'k': 3},spatial
test_1309,1570.951904296875,{'k': 3},spatial
test_131,1656.204345703125,{'k': 3},spatial
test_1310,1536.0787353515625,{'k': 3},spatial
test_1311,1565.055419921875,{'k': 3},spatial
test_1312,1776.2490234375,{'k': 3},spatial
test_1313,1528.9775390625,{'k': 3},spatial
test_1314,1537.5087890625,{'k': 3},spatial
test_1315,1642.5418701171875,{'k': 3},spatial
test_1316,1613.1790771484375,{'k': 3},spatial
test_1317,1654.369873046875,{'k': 3},spatial
test_1318,1573.07470703125,{'k': 3},spatial
test_1319,1395.3115234375,{'k': 3},spatial
test_132,1508.546875,{'k': 3},spatial
test_1320,1428.267333984375,{'k': 3},spatial
test_1321,1631.966796875,{'k': 3},spatial
test_1322,1478.887451171875,{'k': 3},spatial
test_1323,1736.9794921875,{'k': 3},spatial
test_1324,1522.584716796875,{'k': 3},spatial
test_1325,1548.8104248046875,{'k': 3},spatial
test_1326,1626.625732421875,{'k': 3},spatial
test_1327,1697.349609375,{'k': 3},spatial
test_1328,1867.57763671875,{'k': 3},spatial
test_1329,1649.48388671875,{'k': 3},spatial
test_133,1580.25048828125,{'k': 3},spatial
test_1330,1720.80224609375,{'k': 3},spatial
test_1331,1638.3765869140625,{'k': 3},spatial
test_1332,1633.8934326171875,{'k': 3},spatial
test_1333,1592.254638671875,{'k': 3},spatial
test_1334,1544.167724609375,{'k': 3},spatial
test_1335,1465.993896484375,{'k': 3},spatial
test_1336,1519.0155029296875,{'k': 3},spatial
test_1337,1782.4339599609375,{'k': 3},spatial
test_1338,1461.36376953125,{'k': 3},spatial
test_1339,1583.3349609375,{'k': 3},spatial
test_134,1551.441650390625,{'k': 3},spatial
test_1340,1370.796142578125,{'k': 3},spatial
test_1341,1488.40234375,{'k': 3},spatial
test_1342,1557.67333984375,{'k': 3},spatial
test_1343,1594.3211669921875,{'k': 3},spatial
test_1344,1571.5225830078125,{'k': 3},spatial
test_1345,1795.22021484375,{'k': 3},spatial
test_1346,1853.25146484375,{'k': 3},spatial
test_1347,1584.8116455078125,{'k': 3},spatial
test_1348,1543.792236328125,{'k': 3},spatial
test_1349,1669.762451171875,{'k': 3},spatial
test_135,1864.322998046875,{'k': 3},spatial
test_1350,1605.77001953125,{'k': 3},spatial
test_1351,1581.614501953125,{'k': 3},spatial
test_1352,1792.501708984375,{'k': 3},spatial
test_1353,1564.893798828125,{'k': 3},spatial
test_1354,1650.8900146484375,{'k': 3},spatial
test_1355,1394.036376953125,{'k': 3},spatial
test_1356,1520.6142578125,{'k': 3},spatial
test_1357,1465.30810546875,{'k': 3},spatial
test_1358,1380.703857421875,{'k': 3},spatial
test_1359,1646.523681640625,{'k': 3},spatial
test_136,1433.741943359375,{'k': 3},spatial
test_1360,1569.889404296875,{'k': 3},spatial
test_1361,1438.537841796875,{'k': 3},spatial
test_1362,1474.453369140625,{'k': 3},spatial
test_1363,1430.544921875,{'k': 3},spatial
test_1364,1678.951416015625,{'k': 3},spatial
test_1365,1409.7261962890625,{'k': 3},spatial
test_1366,1596.6558837890625,{'k': 3},spatial
test_1367,1839.027587890625,{'k': 3},spatial
test_1368,1705.6170654296875,{'k': 3},spatial
test_1369,1558.7490234375,{'k': 3},spatial
test_137,1551.960693359375,{'k': 3},spatial
test_1370,1700.8890380859375,{'k': 3},spatial
test_1371,1682.0401611328125,{'k': 3},spatial
test_1372,1489.20458984375,{'k': 3},spatial
test_1373,1556.405517578125,{'k': 3},spatial
test_1374,1583.15283203125,{'k': 3},spatial
test_1375,1542.173095703125,{'k': 3},spatial
test_1376,1569.1019287109375,{'k': 3},spatial
test_1377,1913.38818359375,{'k': 3},spatial
test_1378,1386.3798828125,{'k': 3},spatial
test_1379,1714.5361328125,{'k': 3},spatial
test_138,1516.7548828125,{'k': 3},spatial
test_1380,1581.779296875,{'k': 3},spatial
test_1381,1568.29833984375,{'k': 3},spatial
