retriever,k,qpp_method,window_size,alpha,r,p1(r),tau,p1(tau),num_of_queries
mt5,5,spatial,6,0.2,0.302700544292377,0.002581313179414017,0.18943298969072167,0.005979808014005902,97
mt5,5,a_ratio,6,0.2,0.19436432897794798,0.05643180912595348,0.04510309278350516,0.5127917901399865,97
mt5,5,nqc,6,0.2,0.11801799596345341,0.2496076293082219,0.022336769759450176,0.7458382926337936,97
mt5,5,spatial,6,0.30000000000000004,0.3097739715817909,0.002017147314024478,0.19458762886597944,0.004747484369155047,97
mt5,5,a_ratio,6,0.30000000000000004,0.19469003491427525,0.0560115983288594,0.039948453608247426,0.5621188569054614,97
mt5,5,nqc,6,0.30000000000000004,0.11347651740622258,0.26842153179183337,0.01718213058419244,0.8031038928688624,97
mt5,5,spatial,6,0.4,0.3154171515635631,0.0016497208905307125,0.19931271477663232,0.003824903963020039,97
mt5,5,a_ratio,6,0.4,0.1949041500324305,0.05573675645519797,0.03436426116838488,0.6180159506334773,97
mt5,5,nqc,6,0.4,0.11082577797745893,0.2798348142752493,0.014604810996563576,0.8321598541826989,97
mt5,5,spatial,6,0.5,0.3198612023038309,0.0014042666326080195,0.20489690721649487,0.002946303078171719,97
mt5,5,a_ratio,6,0.5,0.1950555899964975,0.0555430337879422,0.03178694158075602,0.6446089162462232,97
mt5,5,nqc,6,0.5,0.10909108609830166,0.28747708927373494,0.012886597938144333,0.851661350500996,97
mt5,5,spatial,6,0.6000000000000001,0.3233116919590543,0.0012370839905765456,0.20317869415807563,0.0031947282487263706,97
mt5,5,a_ratio,6,0.6000000000000001,0.19516834267591757,0.055399158903985196,0.030498281786941587,0.6580807665431417,97
mt5,5,nqc,6,0.6000000000000001,0.10786829063411404,0.2929466908253704,0.010738831615120277,0.8761649965497997,97
mt5,5,spatial,6,0.7000000000000001,0.32594628829241307,0.0011218434855014706,0.2100515463917526,0.0023030471051788694,97
mt5,5,a_ratio,6,0.7000000000000001,0.195255545758585,0.0552880955838593,0.027061855670103097,0.6945424903122657,97
mt5,5,nqc,6,0.7000000000000001,0.10696020387563303,0.2970527867028955,0.009020618556701032,0.8958549214709819,97
mt5,5,spatial,6,0.8,0.327915438235466,0.0010421852361527995,0.2053264604810997,0.002887015591872923,97
mt5,5,a_ratio,6,0.8,0.1953249958033436,0.055199773529666395,0.028350515463917533,0.680780730027897,97
mt5,5,nqc,6,0.8,0.1062592942845049,0.30024786230487865,0.007731958762886599,0.9106652645488371,97
mt5,5,spatial,6,0.9,0.3293446936290342,0.0009876314630105508,0.202319587628866,0.003325969220576063,97
mt5,5,a_ratio,6,0.9,0.1953816111936857,0.055127859413683505,0.027061855670103097,0.6945424903122657,97
mt5,5,nqc,6,0.9,0.10570197314049254,0.30280442482386544,0.009020618556701032,0.8958549214709819,97
mt5,5,spatial,6,1.0,0.33033775237310214,0.0009512729115098305,0.20017182130584193,0.0036758280937195186,97
mt5,5,a_ratio,6,1.0,0.19542864766103854,0.05506817112463959,0.027061855670103097,0.6945424903122657,97
mt5,5,nqc,6,1.0,0.10524824322345823,0.304896279188483,0.00859106529209622,0.9007879306638119,97
mt5,5,spatial,7,0.0,0.28945220515568637,0.004032028680975836,0.18857388316151205,0.006211170636578692,97
mt5,5,a_ratio,7,0.0,0.1935803082597546,0.05745391361848083,0.0893470790378007,0.19479398827541883,97
mt5,5,nqc,7,0.0,0.13254069354764628,0.19560673020426955,0.05541237113402062,0.42134149715143543,97
mt5,5,spatial,7,0.1,0.30022533845246213,0.0028100049913361022,0.19587628865979384,0.004477722918252414,97
mt5,5,a_ratio,7,0.1,0.19452613051654166,0.056222738569234126,0.050257731958762895,0.4658203551040343,97
mt5,5,nqc,7,0.1,0.11986092053483838,0.24223805860542713,0.03522336769759451,0.6092594479622931,97
mt5,5,spatial,7,0.2,0.30913277116271853,0.002063260074112932,0.20103092783505158,0.0035320539175627825,97
mt5,5,a_ratio,7,0.2,0.19493104067137557,0.05570231744378329,0.04123711340206186,0.5495750194028222,97
mt5,5,nqc,7,0.2,0.11434578091571942,0.264748248076928,0.027491408934707907,0.6899437658549277,97
mt5,5,spatial,7,0.30000000000000004,0.31639203826378254,0.00159277146229169,0.19802405498281792,0.004058834798972484,97
mt5,5,a_ratio,7,0.30000000000000004,0.19515557638844014,0.05541543360657804,0.03823024054982819,0.5790561270652871,97
mt5,5,nqc,7,0.30000000000000004,0.11129496010184017,0.27779137357603795,0.018900343642611686,0.783880730258208,97
mt5,5,spatial,7,0.4,0.32222583162605317,0.0012876346272760848,0.1971649484536083,0.004221925130091803,97
mt5,5,a_ratio,7,0.4,0.1952982479669246,0.05523377597672837,0.03436426116838488,0.6180159506334773,97
mt5,5,nqc,7,0.4,0.1093636007742541,0.28626742441550407,0.015463917525773198,0.8224469251562028,97
mt5,5,spatial,7,0.5,0.3268472009575104,0.0010847355918349102,0.1971649484536083,0.004221925130091803,97
mt5,5,a_ratio,7,0.5,0.19539690512659913,0.055108445914011185,0.03178694158075602,0.6446089162462232,97
mt5,5,nqc,7,0.5,0.10803237189853067,0.2922087836181441,0.013745704467353953,0.841898479106889,97
mt5,5,spatial,7,0.6000000000000001,0.33045081253763536,0.0009472117834309091,0.202319587628866,0.003325969220576063,97
mt5,5,a_ratio,7,0.6000000000000001,0.19546918728940202,0.055016769737092845,0.030498281786941587,0.6580807665431417,97
mt5,5,nqc,7,0.6000000000000001,0.10705960314194357,0.2966014963014992,0.010738831615120277,0.8761649965497997,97
mt5,5,spatial,7,0.7000000000000001,0.3332088367427976,0.0008529098922292339,0.202319587628866,0.003325969220576063,97
mt5,5,a_ratio,7,0.7000000000000001,0.19552442127569464,0.054946800298975515,0.029639175257731964,0.6671244311500414,97
mt5,5,nqc,7,0.7000000000000001,0.10631786212118507,0.2999800226022207,0.009879725085910654,0.886001161240211,97
mt5,5,spatial,7,0.8,0.33527000276596325,0.0007881185742303414,0.2018900343642612,0.0033934144348203364,97
mt5,5,a_ratio,7,0.8,0.195568000928514,0.0548916459089836,0.027491408934707907,0.6899437658549277,97
mt5,5,nqc,7,0.8,0.1057336599807402,0.3026586890613308,0.007731958762886599,0.9106652645488371,97
mt5,5,spatial,7,0.9,0.3367605996810537,0.0007440990101900286,0.19673539518900346,0.004305679427335466,97
mt5,5,a_ratio,7,0.9,0.19560326216170823,0.05484705256328507,0.027491408934707907,0.6899437658549277,97
mt5,5,nqc,7,0.9,0.10526166356954421,0.3048342715556593,0.006013745704467355,0.930459888527551,97
mt5,5,spatial,7,1.0,0.33778652228172446,0.0007151201191552075,0.19286941580756015,0.005130036782382208,97
mt5,5,a_ratio,7,1.0,0.19563237881747622,0.054810252409469865,0.027061855670103097,0.6945424903122657,97
mt5,5,nqc,7,1.0,0.10487239929778894,0.3066361815247104,0.006443298969072166,0.9255067132095164,97
mt5,5,spatial,8,0.0,0.3098319443699136,0.0020130243498233296,0.1782646048109966,0.009686599012848096,97
mt5,5,a_ratio,8,0.0,0.19312368706205546,0.058056144686504677,0.07259450171821306,0.29214479548279504,97
mt5,5,nqc,8,0.0,0.14123317533703617,0.1676234084196862,0.04209621993127149,0.541289833276998,97
mt5,5,spatial,8,0.1,0.3193199370379921,0.0014322769045420406,0.19158075601374575,0.0054350017041903615,97
mt5,5,a_ratio,8,0.1,0.1939757163849699,0.056936554349750375,0.04553264604810997,0.5087854171288679,97
mt5,5,nqc,8,0.1,0.12321867134922136,0.22920114556384785,0.02920962199312715,0.6716645680851198,97
mt5,5,spatial,8,0.2,0.32693065240332486,0.001081355459681576,0.1937285223367698,0.004935409194231109,97
mt5,5,a_ratio,8,0.2,0.19443281663285794,0.05634323574999042,0.040807560137457045,0.5537409286316863,97
mt5,5,nqc,8,0.2,0.11625168285919653,0.2568141719411272,0.023195876288659798,0.7364196981955502,97
mt5,5,spatial,8,0.30000000000000004,0.3329244158517015,0.0008622224144042289,0.19158075601374575,0.0054350017041903615,97
mt5,5,a_ratio,8,0.30000000000000004,0.19471751289494224,0.05597626511478839,0.038659793814433,0.5747994088567128,97
mt5,5,nqc,8,0.30000000000000004,0.11258142330190594,0.2722398090379047,0.018470790378006877,0.7886746705788532,97
mt5,5,spatial,8,0.4,0.33755271478357396,0.0007216321008664295,0.19286941580756015,0.005130036782382208,97
mt5,5,a_ratio,8,0.4,0.19491175345496678,0.05572701693429509,0.032646048109965645,0.6356917335694203,97
